No.|Class|Condition|Contents|Measure|Release|Teach|Auto|Teach|Auto|Teach|Auto
2605|Operation al failure|User coordinate does not exist.|Failure occurs when use of User coordinate is attempted without the coordinate system being pre-defined.|Define User coordinate system(s) in [Service][10 User Coord. Definition]before attempting to use it.|No reset operations neccesary.|A|A|A|A|on|on
2606|Operation al failure|User coordinate is indefinite.|This error is detected when the base of specified user coordinates is not in agreement with the operation standard mechanism of the current unit.|Define User coordinate system(s) in [Service][10 User Coord. Definition]before attempting to use it.|No reset operations neccesary.|A|A|A|A|on|on
2607|Operation al failure|The user coordinate number which cannot be used as the Stationary tool coordinate was chosen.|Failure occurs although step is Stationary tool interpolation, the operation standard mechanism is chosen as the base of Stationary tool coordinate.|Please select stationary tool defined by the world coordinate using FN67.|No reset operations neccesary.|A|A|A|A|on|on
2608|Operation al failure|The user coordinate number which cannot be used was chosen.|This function is not permitted for using user coordinate on TCF coordinate system.|Please define user coordinate defined by the world coordinate.|No reset operations neccesary.|A|A|A|A|on|on
2609|Operation al failure|The coordinate which cannot be used was chosen.|Work coordinate or user coordinate on TCF coordinate was used for the manipulator set as the operation standard mechanism.|Please change coordinate.|No reset operations neccesary.|A|A|A|A|on|on
2610|Operation al failure|Pause substitution overlaps.|Without executing move command, vause substitution to the same|Please teach move command after LETCOORDP function and execute.|No reset operations|A|A|A|A|on|on
2611|Operation al failure|Modifying user coordinate failed.|Modifying user coordinate failed for one reason of the followings. (1)[OZX order] is chosen though it is instruction of two or less points. (2)The points are less than three points. (3)Three points are on the same line. (4)Position data is not encoder. (5)User coordinates register file does not exist.|Please correct instruction points.|No reset operations neccesary.|A|A|A|A|on|on
2620|PLC failure|SHARP I/F: JW32CV module cannot be recognized.|When the data exchange with the module cannot be processed, this error is detected.|Please confirm setting of JW32CV module.|Error reset.|A|A|A|A|on|on
2621|PLC failure|SHARP I/F: Memory error detected.|Error occurs when Memory failure in the JW32CV module self-check is detected.|Refer to the Self-check section of the JW32CV Manual.|Error reset.|A|A|A|A|on|on
2622|PLC failure|SHARP I/F: CPU error detected.|Error occurs when CPU failure in the JW32CV module self-check is detected.|Refer to the Self-check section of the JW32CV Manual.|Error reset.|A|A|A|A|on|on
2623|PLC failure|SHARP I/F: I/O error detected.|Error occurs when I/O failure in the JW32CV module self-check is detected.|Refer to the Self-check section of the JW32CV Manual.|Error reset.|A|A|A|A|on|on
2624|PLC failure|SHARP I/F: Special I/O error detected.|Error occurs when Special I/O failure in the JW32CV module self-check is detected.|Refer to the Self-check section of the JW32CV Manual.|Error reset.|A|A|A|A|on|on
2625|PLC failure|SHARP I/F: Option error detected.|Error occurs when Option failure in the JW32CV module self-check is detected.|Refer to the Self-check section of the JW32CV Manual.|Error reset.|A|A|A|A|on|on
2626|PLC failure|SHARP I/F: Power error detected.|Error occurs when Power failure in the JW32CV module self-check is detected.|Refer to the Self-check section of the JW32CV Manual.|Error reset.|A|A|A|A|on|on
2627|PLC failure|SHARP I/F: Extend Power error detected.|Error occurs when Extend Power failure in the JW32CV module self-check is detected.|Refer to the Self-check section of the JW32CV Manual.|Error reset.|A|A|A|A|on|on
2628|PLC failure|SHARP I/F: Sequence program is stopping.|A sequence program of JW32CV module is stopping.|Please start a sequence program of JW32CV module.|Error reset.|A|A|A|A|on|on
2651|PLC failure|Toyopuc I/F is a uninstallation.|Toyopuc I/F is not found.|Please confirm whether Toyopuc I/F is installed.|Please turn on the power supply again after Toyopuc I/F installs.|E|E|E|E|on|on
2652|PLC failure|Toyopuc I/F:I/O refreshing has stopped.|There is no response from Toyopuc I/F.|Please confirm Toyopuc I/F.|Automatically restores, when the problem is solved.|E|E|E|E|on|on
2653|PLC failure|Toyopuc I/F:Abnormality is found in the dual port memory.|Toyopuc I/F detected the dual port memory malfunction.|Please refer to the manual of Toyopuc I/F.|Automatically restores, when the problem is solved.|E|E|E|E|on|on
